"",gene_symbol,GSM1480291,GSM1480292,GSM1480293,GSM1480294,GSM1480295,GSM1480296,GSM1480297,GSM1480298,GSM1480299,GSM1480300,GSM1480301,GSM1480302
ENSMUSG00000000001,Gnai3,243.28596,255.66037,239.73819,217.10047,84.74389,84.59855,175.03566,187.48789,176.66285,169.0941,158.4471,133.5916
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,11.18453,13.78314,11.60091,4.2718,8.35011,8.19949,12.10863,11.09874,7.53319,7.0989,1.98114,2.88361
ENSMUSG00000000031,H19,6.30808,8.53042,7.09408,11.03901,0.19419,0,2.11801,1.19067,1.54527,0.86673,10.83023,5.76722
ENSMUSG00000000037,Scml2,2.19217,4.66442,2.7959,2.49541,1.24281,0.85492,5.79456,8.80245,9.81246,7.47035,7.57235,9.87992
ENSMUSG00000000049,Apoh,0.22369,0.08404,0,0,0,0,0.19981,0.1701,0.03863,0.04127,0.26415,0.04727
ENSMUSG00000000056,Narf,11.27401,14.74964,26.16464,18.8213,14.71949,13.91193,30.65122,21.68719,18.31143,9.03871,18.62271,18.53075
ENSMUSG00000000058,Cav2,118.24288,112.70235,50.53489,63.40027,186.22683,157.84994,122.68481,116.38792,151.39771,153.28667,209.42841,221.04541
ENSMUSG00000000078,Klf6,2036.16657,2230.26276,1902.63241,1959.61407,1094.01954,1096.16718,903.15201,890.83323,1017.86852,997.39516,1741.68536,1958.44535
ENSMUSG00000000085,Scmh1,33.68781,38.70204,9.18057,9.4318,3.92261,3.26425,40.60188,47.54172,36.6615,36.27867,49.26432,62.68311
ENSMUSG00000000088,Cox5a,126.92208,108.75231,141.96507,125.4894,125.79535,127.50016,63.46042,61.87228,74.01837,66.16008,45.30205,42.63964
ENSMUSG00000000093,Tbx2,0.67107,1.51278,1.00152,1.26885,0.19419,0.23316,29.01276,33.29622,42.76531,45.48247,58.55366,47.88687
ENSMUSG00000000094,Tbx4,0.04474,0.04202,0.08346,0.08459,0.07768,0.03886,0.11989,0.12757,0.15453,0.16509,0.22013,0.14182
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0.26843,0.46224,0.29211,0.42295,0.73792,0.50518,50.15291,30.27702,12.40078,10.44198,7.92456,7.94175
ENSMUSG00000000125,Wnt3,0,0,0,0,0,0,0.03996,0.04252,0,0.04127,0,0.04727
ENSMUSG00000000126,Wnt9a,0.67107,1.05054,0.25038,0.16918,0.23303,0.15544,12.62814,6.29354,1.23621,1.07309,2.50944,2.03271
ENSMUSG00000000127,Fer,17.31366,18.40553,15.64871,12.64622,9.98129,10.10364,29.17261,24.06853,34.3436,31.49104,41.25172,33.84699
ENSMUSG00000000131,Xpo6,73.54949,86.43876,96.72988,95.16385,28.73991,37.26689,86.91839,90.27824,103.80343,104.54365,78.80531,65.99217
ENSMUSG00000000134,Tfe3,75.74166,84.71586,96.0622,74.90453,30.56528,26.0363,89.11633,95.97645,97.15877,91.70786,77.3965,72.23212
ENSMUSG00000000142,Axin2,3.80274,2.56333,2.00303,2.32623,0.42721,0.34974,25.65591,15.90394,6.14244,3.96218,3.43397,5.57813
ENSMUSG00000000148,Brat1,10.24503,11.21981,6.63505,6.72491,4.85471,5.28498,6.47392,5.27296,4.44265,3.75581,6.47172,6.9963
ENSMUSG00000000149,Gna12,67.77827,77.10993,49.65856,39.58816,11.34061,13.79535,72.33209,69.05882,60.61317,56.08955,52.12597,55.73408
ENSMUSG00000000154,Slc22a18,11.40822,13.78314,10.59939,11.1236,7.14614,9.20986,0.35966,0.25514,0.34769,0.37145,0.1761,0.09454
